Año,Materia,Notas
2,Club cine,8,6
2,Historia del arte ,8,2
2,Dibujo natural,6,9
2,Grafica digital II,8,6
2,Semiotica de la imagen,7,6
2,Logica y Forma,4,3
2,Teoria de la comunicacion,7,9
2,Introduccion al cine,7,6
2,Fotografia e iluminacion ,6,5
